ticker,asset_type,security_type,accounting_profile,issuer_name,cnpj,cvm_code,sector,industry,status
AALR3,stock,stock,non_financial,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,42771949000135,24058,Health Services,Serv.Méd.Hospit..Análises e Diagnósticos,active
AALR3F,stock,stock,non_financial,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,42771949000135,24058,Health Services,,active
ABCB4,stock,stock,bank,BANCO ABC BRASIL S/A,28195667000106,20958,Finance,Bancos,active
ABEV3,stock,stock,non_financial,AMBEV S.A.,07526557000100,23264,Consumer Non-Durables,Cervejas e Refrigerantes,active
ABEV3F,stock,stock,non_financial,AMBEV S.A.,07526557000100,23264,Consumer Non-Durables,,active
AERI3,stock,stock,non_financial,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,12528708000107,25283,Producer Manufacturing,Máq. e Equip. Industriais,active
AFLT3,stock,stock,non_financial,AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A,10338320000100,22179,Utilities,Energia Elétrica,active
AGRO3,stock,stock,non_financial,BRASILAGRO CIA BRAS DE PROP AGRICOLAS,07628528000159,20036,Finance,Agricultura,active
AGRO3F,stock,stock,non_financial,BRASILAGRO CIA BRAS DE PROP AGRICOLAS,07628528000159,20036,Finance,,active
AGXY3,stock,stock,non_financial,AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL,21240146000184,25658,Distribution Services,Agricultura,active
ALLD3,stock,stock,non_financial,ALLIED TECNOLOGIA S.A.,20247322000147,25330,Technology Services,Eletrodomésticos,active
ALLD3F,stock,stock,non_financial,ALLIED TECNOLOGIA S.A.,20247322000147,25330,Technology Services,,active
ALOS3,stock,stock,non_financial,ALLOS S.A.,05878397000132,22357,Finance,Exploração de Imóveis,active
ALOS3F,stock,stock,non_financial,ALLOS S.A.,05878397000132,22357,Finance,,active
ALPA3,stock,stock,non_financial,ALPARGATAS SA,61079117000105,10456,Consumer Non-Durables,Calçados,active
ALPA3F,stock,stock,non_financial,ALPARGATAS SA,61079117000105,10456,Consumer Non-Durables,,active
ALPA4,stock,stock,non_financial,ALPARGATAS SA,61079117000105,10456,Consumer Non-Durables,,active
ALPA4F,stock,stock,non_financial,ALPARGATAS SA,61079117000105,10456,Consumer Non-Durables,,active
ALPK3,stock,stock,non_financial,"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",60537263000166,24953,Consumer Services,Serviços Diversos,active
ALUP11,stock,unit,non_financial,ALUPAR INVESTIMENTO S/A,08364948000138,21490,Utilities,,active
ALUP11F,stock,stock,non_financial,ALUPAR INVESTIMENTO S/A,08364948000138,21490,Utilities,,active
ALUP3,stock,stock,non_financial,ALUPAR INVESTIMENTO S/A,08364948000138,21490,Utilities,Energia Elétrica,active
ALUP3F,stock,stock,non_financial,ALUPAR INVESTIMENTO S/A,08364948000138,21490,Utilities,,active
