ticker,brapi_name,brapi_cnpj,reason
AZEV4,AZEVEDO E TRAVASSOS S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
ONCO11,ONCOCLINICAS DO BRASIL SERVICOS MEDICOS  S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
PINE4,BCO PINE S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
FESA4,CIA FERRO LIGAS DA BAHIA - FERBASA,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
SAPR4,CIA SANEAMENTO DO PARANA - SANEPAR,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BRSR6,BCO ESTADO DO RIO GRANDE DO SUL S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
SAPR11,CIA SANEAMENTO DO PARANA - SANEPAR,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
AXIA7,AXIA7,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
AMBP3F,AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
SEQL3,SEQUOIA LOGISTICA E TRANSPORTES S.A,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BBAS3F,BCO BRASIL S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
SANB4,BCO SANTANDER (BRASIL) S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
ITUB4F,ITAU UNIBANCO HOLDING S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
CMIG4F,CIA ENERGETICA DE MINAS GERAIS - CEMIG,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
PETR4F,PETROLEO BRASILEIRO S.A. PETROBRAS,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
SAPR4F,CIA SANEAMENTO DO PARANA - SANEPAR,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BBDC4F,BCO BRADESCO S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BOBR4,BOMBRIL S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
BBDC3F,BCO BRADESCO S.A.,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
SBSP3F,CIA SANEAMENTO BASICO EST SAO PAULO,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
CPLE3F,CIA PARANAENSE DE ENERGIA - COPEL,,Não foi possível vincular automaticamente ao cadastro ativo da CVM.
